node_type_id model_type model_template dynamics_params pop_name gaba_synapse ei location population layer
482764620 point_process nest:glif_psc 482764620_glif_psc.json i5Htr3a NULL i Cortex v1 L5
487176969 point_process nest:glif_psc 487176969_glif_psc.json i6Htr3a NULL i Cortex v1 L6
482773968 point_process nest:glif_psc 482773968_glif_psc.json i5Htr3a NULL i Cortex v1 L5
464188580 point_process nest:glif_psc 464188580_glif_psc.json i23Htr3a NULL i Cortex v1 L23
475622793 point_process nest:glif_psc 475622793_glif_psc.json i23Htr3a NULL i Cortex v1 L23
327962063 point_process nest:glif_psc 327962063_glif_psc.json i23Htr3a NULL i Cortex v1 L23
479220013 point_process nest:glif_psc 479220013_glif_psc.json i23Htr3a NULL i Cortex v1 L23
475622680 point_process nest:glif_psc 475622680_glif_psc.json i23Htr3a NULL i Cortex v1 L23
469753383 point_process nest:glif_psc 469753383_glif_psc.json i23Htr3a NULL i Cortex v1 L23
474267418 point_process nest:glif_psc 474267418_glif_psc.json i23Htr3a NULL i Cortex v1 L23
473943881 point_process nest:glif_psc 473943881_glif_psc.json i23Htr3a NULL i Cortex v1 L23
480124551 point_process nest:glif_psc 480124551_glif_psc.json e4Rorb NULL e Cortex v1 L4
479225080 point_process nest:glif_psc 479225080_glif_psc.json e4Rorb NULL e Cortex v1 L4
324025371 point_process nest:glif_psc 324025371_glif_psc.json e4Rorb NULL e Cortex v1 L4
485836906 point_process nest:glif_psc 485836906_glif_psc.json e4Rorb NULL e Cortex v1 L4
480087928 point_process nest:glif_psc 480087928_glif_psc.json e4Rorb NULL e Cortex v1 L4
314642645 point_process nest:glif_psc 314642645_glif_psc.json e4Rorb NULL e Cortex v1 L4
480122859 point_process nest:glif_psc 480122859_glif_psc.json e4Rorb NULL e Cortex v1 L4
479179020 point_process nest:glif_psc 479179020_glif_psc.json e4Rorb NULL e Cortex v1 L4
501848315 point_process nest:glif_psc 501848315_glif_psc.json e4Rorb NULL e Cortex v1 L4
473020156 point_process nest:glif_psc 473020156_glif_psc.json e4Rorb NULL e Cortex v1 L4
484679812 point_process nest:glif_psc 484679812_glif_psc.json e4Rorb NULL e Cortex v1 L4
478110866 point_process nest:glif_psc 478110866_glif_psc.json i5Htr3a NULL i Cortex v1 L5
483018019 point_process nest:glif_psc 483018019_glif_psc.json e4other NULL e Cortex v1 L4
486146717 point_process nest:glif_psc 486146717_glif_psc.json e4other NULL e Cortex v1 L4
477135941 point_process nest:glif_psc 477135941_glif_psc.json e4other NULL e Cortex v1 L4
486146828 point_process nest:glif_psc 486146828_glif_psc.json e4other NULL e Cortex v1 L4
487601493 point_process nest:glif_psc 487601493_glif_psc.json e4other NULL e Cortex v1 L4
478793814 point_process nest:glif_psc 478793814_glif_psc.json i5Pvalb NULL i Cortex v1 L5
481017021 point_process nest:glif_psc 481017021_glif_psc.json i5Pvalb NULL i Cortex v1 L5
318556138 point_process nest:glif_psc 318556138_glif_psc.json i5Pvalb NULL i Cortex v1 L5
480952106 point_process nest:glif_psc 480952106_glif_psc.json i5Pvalb NULL i Cortex v1 L5
515305346 point_process nest:glif_psc 515305346_glif_psc.json i5Pvalb NULL i Cortex v1 L5
336676216 point_process nest:glif_psc 336676216_glif_psc.json i5Pvalb NULL i Cortex v1 L5
313861608 point_process nest:glif_psc 313861608_glif_psc.json i5Pvalb NULL i Cortex v1 L5
478949560 point_process nest:glif_psc 478949560_glif_psc.json i5Pvalb NULL i Cortex v1 L5
478958894 point_process nest:glif_psc 478958894_glif_psc.json i4Pvalb NULL i Cortex v1 L4
487667205 point_process nest:glif_psc 487667205_glif_psc.json i4Pvalb NULL i Cortex v1 L4
324266189 point_process nest:glif_psc 324266189_glif_psc.json i23Sst NULL i Cortex v1 L23
476686112 point_process nest:glif_psc 476686112_glif_psc.json i23Sst NULL i Cortex v1 L23
324493977 point_process nest:glif_psc 324493977_glif_psc.json i23Sst NULL i Cortex v1 L23
474626527 point_process nest:glif_psc 474626527_glif_psc.json i4Htr3a NULL i Cortex v1 L4
313862167 point_process nest:glif_psc 313862167_glif_psc.json i4Sst NULL i Cortex v1 L4
501282204 point_process nest:glif_psc 501282204_glif_psc.json i4Sst NULL i Cortex v1 L4
318808427 point_process nest:glif_psc 318808427_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
370351753 point_process nest:glif_psc 370351753_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
422738880 point_process nest:glif_psc 422738880_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
386049446 point_process nest:glif_psc 386049446_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
318733871 point_process nest:glif_psc 318733871_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
482809953 point_process nest:glif_psc 482809953_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
476457450 point_process nest:glif_psc 476457450_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
476451456 point_process nest:glif_psc 476451456_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
386970660 point_process nest:glif_psc 386970660_glif_psc.json e4Nr5a1 NULL e Cortex v1 L4
475585413 point_process nest:glif_psc 475585413_glif_psc.json i1Htr3a NULL i Cortex v1 L1
478107198 point_process nest:glif_psc 478107198_glif_psc.json i1Htr3a NULL i Cortex v1 L1
482690728 point_process nest:glif_psc 482690728_glif_psc.json i5Sst NULL i Cortex v1 L5
478412623 point_process nest:glif_psc 478412623_glif_psc.json i5Sst NULL i Cortex v1 L5
478396248 point_process nest:glif_psc 478396248_glif_psc.json i5Sst NULL i Cortex v1 L5
464198958 point_process nest:glif_psc 464198958_glif_psc.json i5Sst NULL i Cortex v1 L5
475517090 point_process nest:glif_psc 475517090_glif_psc.json i5Sst NULL i Cortex v1 L5
480351780 point_process nest:glif_psc 480351780_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
476131588 point_process nest:glif_psc 476131588_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
480353286 point_process nest:glif_psc 480353286_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
484737013 point_process nest:glif_psc 484737013_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
354190013 point_process nest:glif_psc 354190013_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
480090260 point_process nest:glif_psc 480090260_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
479492633 point_process nest:glif_psc 479492633_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
518271679 point_process nest:glif_psc 518271679_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
517645929 point_process nest:glif_psc 517645929_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
476263004 point_process nest:glif_psc 476263004_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
468120757 point_process nest:glif_psc 468120757_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
476048909 point_process nest:glif_psc 476048909_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
480169178 point_process nest:glif_psc 480169178_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
324025297 point_process nest:glif_psc 324025297_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
484659182 point_process nest:glif_psc 484659182_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
320207387 point_process nest:glif_psc 320207387_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
469793303 point_process nest:glif_psc 469793303_glif_psc.json e5noRbp4 NULL e Cortex v1 L5
504608602 point_process nest:glif_psc 504608602_glif_psc.json i6Sst NULL i Cortex v1 L6
473564515 point_process nest:glif_psc 473564515_glif_psc.json i6Sst NULL i Cortex v1 L6
328549885 point_process nest:glif_psc 328549885_glif_psc.json i6Sst NULL i Cortex v1 L6
476104386 point_process nest:glif_psc 476104386_glif_psc.json i6Sst NULL i Cortex v1 L6
539742766 point_process nest:glif_psc 539742766_glif_psc.json e6Ntsr1 NULL e Cortex v1 L6
471819401 point_process nest:glif_psc 471819401_glif_psc.json e6Ntsr1 NULL e Cortex v1 L6
466632464 point_process nest:glif_psc 466632464_glif_psc.json e6Ntsr1 NULL e Cortex v1 L6
509003464 point_process nest:glif_psc 509003464_glif_psc.json e6Ntsr1 NULL e Cortex v1 L6
471789504 point_process nest:glif_psc 471789504_glif_psc.json e6Ntsr1 NULL e Cortex v1 L6
